Time (ms),Channel A (mV),Channel B (V)
-6.91199909,-13.50749000,0.63225200
-6.90687909,-15.25925000,0.63225200
-6.90175909,-15.25925000,0.62346260
-6.89663909,-15.25925000,0.62346260
-6.89151909,-15.25925000,0.62346260
-6.88639909,-15.25925000,0.62346260
-6.88127909,-15.25925000,0.61467330
-6.87615909,-15.25925000,0.60588400
-6.87103909,-15.25925000,0.59709470
-6.86591909,-15.25925000,0.59709470
-6.86079909,-15.25925000,0.59709470
-6.85567909,-17.00491000,0.58830530
-6.85055909,-17.00491000,0.58830530
-6.84543909,-17.00491000,0.57951600
-6.84031909,-17.00491000,0.57072660
-6.83519909,-18.75057000,0.57072660
-6.83007909,-17.00491000,0.57072660
-6.82495909,-18.75057000,0.55317850
-6.81983909,-18.75057000,0.55317850
-6.81471909,-18.75057000,0.55317850
-6.80959909,-18.75057000,0.55317850
-6.80447909,-18.75057000,0.54438920
-6.79935909,-18.75057000,0.53559980
-6.79423909,-18.75057000,0.52681050
-6.78911909,-18.75057000,0.52681050
-6.78399909,-18.75057000,0.51802120
-6.77887909,-18.75057000,0.51802120
-6.77375909,-18.75057000,0.50923190
-6.76863909,-20.50233000,0.50923190
-6.76351909,-20.50233000,0.50044250
-6.75839909,-22.24799000,0.49165320
-6.75327909,-20.50233000,0.48286380
-6.74815909,-20.50233000,0.48286380
-6.74303909,-22.24799000,0.48286380
-6.73791909,-22.24799000,0.47407450
-6.73279909,-22.24799000,0.46528520
-6.72767909,-22.24799000,0.45649590
-6.72255909,-22.24799000,0.45649590
-6.71743909,-22.24799000,0.44770650
-6.71231909,-22.24799000,0.43891720
-6.70719909,-22.24799000,0.43012790
-6.70207909,-22.24799000,0.43012790
-6.69695909,-22.24799000,0.41257970
-6.69183909,-22.24799000,0.41257970
-6.68671909,-22.24799000,0.41257970
-6.68159909,-22.24799000,0.40379040
-6.67647909,-22.24799000,0.39500110
-6.67135909,-23.99365000,0.38621170
-6.66623909,-23.99365000,0.38621170
-6.66111909,-23.99365000,0.37742240
-6.65599909,-23.99365000,0.37742240
-6.65087909,-23.99365000,0.36863310
-6.64575909,-23.99365000,0.35984370
-6.64063909,-23.99365000,0.35105440
-6.63551909,-23.99365000,0.34226510
-6.63039909,-23.99365000,0.34226510
-6.62527909,-25.74541000,0.33347570
-6.62015909,-25.74541000,0.32468640
-6.61503909,-25.74541000,0.31589710
-6.60991909,-25.74541000,0.31589710
-6.60479909,-25.74541000,0.30710770
-6.59967909,-25.74541000,0.30710770
-6.59455909,-25.74541000,0.29831840
-6.58943909,-25.74541000,0.28073980
-6.58431909,-25.74541000,0.28073980
-6.57919909,-25.74541000,0.27198090
-6.57407909,-25.74541000,0.27198090
-6.56895909,-25.74541000,0.26319160
-6.56383909,-27.49107000,0.25440230
-6.55871909,-25.74541000,0.24561300
-6.55359909,-25.74541000,0.23682360
-6.54847909,-27.49107000,0.23682360
-6.54335909,-25.74541000,0.22803430
-6.53823909,-27.49107000,0.21924500
-6.53311909,-25.74541000,0.21924500
-6.52799909,-25.74541000,0.20166630
-6.52287909,-27.49107000,0.20166630
-6.51775909,-27.49107000,0.18408760
-6.51263909,-27.49107000,0.18408760
-6.50751909,-27.49107000,0.17529830
-6.50239909,-25.74541000,0.16650900
-6.49727909,-27.49107000,0.15771970
-6.49215909,-27.49107000,0.14893030
-6.48703909,-29.23673000,0.14893030
-6.48191909,-27.49107000,0.13138220
-6.47679909,-27.49107000,0.13138220
-6.47167909,-29.23673000,0.13138220
-6.46655909,-27.49107000,0.12259290
-6.46143909,-27.49107000,0.11380350
-6.45631909,-29.23673000,0.09622486
-6.45119909,-29.23673000,0.09622486
-6.44607909,-29.23673000,0.09622486
-6.44095909,-27.49107000,0.08743553
-6.43583909,-27.49107000,0.07864620
-6.43071909,-29.23673000,0.06106754
-6.42559909,-29.23673000,0.06106754
-6.42047909,-29.23673000,0.05227821
-6.41535909,-29.23673000,0.04348888
-6.41023909,-29.23673000,0.04348888
-6.40511909,-29.23673000,0.02591021
-6.39999909,-29.23673000,0.02591021
-6.39487909,-29.23673000,0.01712088
-6.38975909,-29.23673000,0.00833155
-6.38463909,-29.23673000,-0.00045778
-6.37951909,-29.23673000,-0.00921659
-6.37439909,-29.23673000,-0.01797540
-6.36927909,-29.23673000,-0.01797540
-6.36415909,-29.23673000,-0.02676473
-6.35903909,-29.23673000,-0.03555406
-6.35391909,-29.23673000,-0.03555406
-6.34879909,-29.23673000,-0.05313272
-6.34367909,-29.23673000,-0.05313272
-6.33855909,-29.23673000,-0.06192205
-6.33343909,-29.23673000,-0.07071139
-6.32831909,-29.23673000,-0.07950072
-6.32319909,-29.23673000,-0.08829005
-6.31807909,-29.23673000,-0.08829005
-6.31295909,-29.23673000,-0.10586870
-6.30783909,-29.23673000,-0.10586870
-6.30271909,-29.23673000,-0.11465800
-6.29759909,-29.23673000,-0.11465800
-6.29247909,-29.23673000,-0.13223670
-6.28735909,-29.23673000,-0.14102600
-6.28223909,-29.23673000,-0.14981540
-6.27711909,-29.23673000,-0.14981540
-6.27199909,-29.23673000,-0.15857420
-6.26687909,-29.23673000,-0.16736350
-6.26175909,-29.23673000,-0.17615280
-6.25663909,-29.23673000,-0.18494220
-6.25151909,-29.23673000,-0.18494220
-6.24639909,-29.23673000,-0.19373150
-6.24127909,-29.23673000,-0.19373150
-6.23615909,-29.23673000,-0.21131020
-6.23103909,-29.23673000,-0.22009950
-6.22591909,-29.23673000,-0.22009950
-6.22079909,-29.23673000,-0.22888880
-6.21567909,-29.23673000,-0.23767820
-6.21055909,-29.23673000,-0.24646750
-6.20543909,-27.49107000,-0.25525680
-6.20031909,-27.49107000,-0.25525680
-6.19519909,-27.49107000,-0.26404610
-6.19007909,-27.49107000,-0.27283550
-6.18495909,-29.23673000,-0.28162480
-6.17983909,-29.23673000,-0.28162480
-6.17471909,-27.49107000,-0.29041410
-6.16959909,-25.74541000,-0.29041410
-6.16447909,-25.74541000,-0.30796230
-6.15935909,-27.49107000,-0.31675160
-6.15423909,-25.74541000,-0.31675160
-6.14911909,-25.74541000,-0.32554090
