Frequency,Channel A,Channel B
(kHz),(dBu),(dBu)

18.83506775,-80.85748000,-46.47237000
18.88275146,-78.61793000,-55.51329000
18.93043518,-87.49486000,-56.32673000
18.97811890,-79.29729000,-60.12032000
19.02580261,-79.82994000,-54.02697000
19.07348633,-85.57600000,-53.18801000
19.12117004,-79.86751000,-63.37643000
19.16885376,-79.91187000,-80.62811000
19.21653748,-86.29623000,-64.43359000
19.26422119,-79.14087000,-58.58304000
19.31190491,-79.89127000,-66.82864000
19.35958862,-86.11286000,-52.59047000
19.40727234,-78.52258000,-51.73415000
19.45495605,-81.64214000,-59.75723000
19.50263977,-83.96382000,-53.81422000
19.55032349,-79.26972000,-49.40527000
19.59800720,-81.05679000,-53.60253000
19.64569092,-85.01794000,-56.48441000
19.69337463,-78.23929000,-53.91089000
19.74105835,-82.36069000,-50.10414000
19.78874207,-82.55958000,-49.52481000
19.83642578,-78.59454000,-53.91053000
19.88410950,-83.63295000,-58.19209000
19.93179321,-82.29756000,-56.01902000
19.97947693,-78.96210000,-53.47659000
20.02716064,-83.11423000,-50.29889000
20.07484436,-82.06348000,-48.33760000
20.12252808,-78.21355000,-50.75566000
20.17021179,-85.91330000,-57.31037000
20.21789551,-80.28136000,-65.40204000
20.26557922,-79.31935000,-53.41644000
20.31326294,-85.00747000,-50.29717000
20.36094666,-80.88652000,-50.47910000
20.40863037,-79.07269000,-53.22740000
20.45631409,-86.07471000,-54.12985000
20.50399780,-79.74895000,-53.23410000
20.55168152,-79.12215000,-47.79936000
20.59936523,-87.11568000,-46.01764000
20.64704895,-79.15659000,-54.80329000
20.69473267,-80.49631000,-53.46258000
20.74241638,-85.11444000,-51.19124000
20.79010010,-79.70762000,-56.42109000
20.83778381,-79.84560000,-73.24118000
20.88546753,-86.87827000,-55.23216000
20.93315125,-78.44592000,-50.86399000
20.98083496,-81.06073000,-52.20565000
21.02851868,-84.15153000,-55.32707000
21.07620239,-78.84954000,-56.94717000
21.12388611,-81.92948000,-51.88504000
21.17156982,-84.02763000,-47.19497000
21.21925354,-78.86294000,-46.92672000
21.26693726,-81.59890000,-55.73240000
21.31462097,-83.62376000,-55.98344000
21.36230469,-78.09976000,-53.54008000
21.40998840,-83.99209000,-52.91040000
21.45767212,-81.58342000,-49.98702000
21.50535583,-79.09230000,-52.20288000
21.55303955,-83.50727000,-55.17576000
21.60072327,-82.26109000,-57.36027000
21.64840698,-78.54501000,-59.08116000
21.69609070,-84.65641000,-57.43092000
21.74377441,-80.67237000,-51.84563000
21.79145813,-78.65892000,-58.32890000
21.83914185,-86.46247000,-56.77166000
21.88682556,-80.10925000,-56.02055000
21.93450928,-79.68492000,-57.50649000
21.98219299,-85.06442000,-57.19897000
22.02987671,-80.44147000,-53.32367000
22.07756042,-78.96045000,-58.69541000
22.12524414,-87.68898000,-62.59434000
22.17292786,-78.94592000,-53.04216000
22.22061157,-80.10071000,-50.88561000
22.26829529,-85.45648000,-58.17882000
22.31597900,-79.39540000,-52.52021000
22.36366272,-80.56530000,-48.80592000
22.41134644,-85.61536000,-48.50930000
22.45903015,-79.04105000,-50.57107000
22.50671387,-80.34164000,-53.92823000
22.55439758,-85.43896000,-65.46439000
22.60208130,-78.27265000,-58.68756000
22.64976501,-82.32423000,-62.06327000
22.69744873,-83.12743000,-55.30124000
22.74513245,-79.13804000,-52.04687000
22.79281616,-81.87614000,-55.94373000
22.84049988,-83.99650000,-56.95885000
22.88818359,-78.31065000,-52.78618000
22.93586731,-82.98660000,-50.74947000
22.98355103,-81.92527000,-46.41996000
23.03123474,-78.48620000,-48.39639000
23.07891846,-84.71196000,-51.72845000
23.12660217,-81.39743000,-47.25311000
23.17428589,-79.17672000,-46.30342000
23.22196960,-83.86681000,-48.54249000
23.26965332,-81.50066000,-50.33690000
23.31733704,-78.38824000,-50.85577000
23.36502075,-86.70540000,-51.66643000
23.41270447,-79.75397000,-55.25784000
23.46038818,-79.45844000,-55.35051000
23.50807190,-85.62039000,-59.76694000
23.55575562,-80.25222000,-55.99966000
23.60343933,-79.55096000,-53.08560000
23.65112305,-86.17537000,-54.08094000
23.69880676,-79.50523000,-57.89532000
23.74649048,-79.40470000,-59.42719000
23.79417419,-86.99051000,-63.47221000
23.84185791,-78.73798000,-68.90256000
23.88954163,-81.02256000,-54.34301000
23.93722534,-84.58855000,-49.10955000
23.98490906,-79.45749000,-52.72170000
24.03259277,-80.48301000,-50.02689000
24.08027649,-85.93668000,-48.67018000
24.12796021,-78.36172000,-52.32148000
24.17564392,-81.54150000,-68.67965000
24.22332764,-83.46484000,-76.71107000
24.27101135,-78.59673000,-54.43319000
24.31869507,-82.86443000,-57.81525000
24.36637878,-82.99622000,-56.57988000
24.41406250,-78.95162000,-53.76175000
24.46174622,-82.30908000,-75.22015000
24.50942993,-82.91527000,-58.38268000
24.55711365,-78.11286000,-58.73417000
24.60479736,-84.84580000,-57.85869000
24.65248108,-80.88284000,-52.60723000
24.70016479,-79.10931000,-50.33358000
24.74784851,-84.46529000,-53.04376000
24.79553223,-81.44932000,-58.64346000
24.84321594,-78.86121000,-61.53176000
24.89089966,-85.26615000,-59.28351000
24.93858337,-80.27390000,-52.00538000
24.98626709,-78.78255000,-48.57334000
25.03395081,-87.18352000,-50.76332000
25.08163452,-79.51056000,-58.03227000
25.12931824,-80.07001000,-68.21704000
25.17700195,-85.23208000,-57.50535000
25.22468567,-80.06362000,-60.62511000
25.27236938,-79.41432000,-56.89006000
25.32005310,-87.39635000,-49.74208000
25.36773682,-78.70061000,-48.04531000
25.41542053,-80.42960000,-53.07531000
25.46310425,-85.03109000,-55.84321000
25.51078796,-78.99355000,-49.48436000
25.55847168,-81.31174000,-53.92131000
25.60615540,-84.70485000,-72.68836000
25.65383911,-79.00178000,-53.89635000
25.70152283,-80.89839000,-52.33324000
25.74920654,-84.66582000,-55.28133000
25.79689026,-78.12523000,-55.98131000
25.84457397,-83.04813000,-54.53796000
25.89225769,-82.31010000,-62.99525000
25.93994141,-79.03766000,-59.02657000
25.98762512,-82.79877000,-72.58438000
26.03530884,-83.00995000,-73.89725000
26.08299255,-78.47261000,-74.70727000
26.13067627,-83.65826000,-57.65358000
26.17835999,-81.36891000,-54.40873000
26.22604370,-78.45859000,-54.22144000
26.27372742,-85.78828000,-56.22411000
26.32141113,-80.60940000,-56.27534000
26.36909485,-79.43264000,-54.04110000
26.41677856,-84.55329000,-51.51474000
26.46446228,-80.98145000,-50.63848000
26.51214600,-78.66876000,-50.71677000
26.55982971,-87.24821000,-52.14919000
26.60751343,-79.33878000,-59.87698000
26.65519714,-79.64644000,-51.92151000
26.70288086,-85.89692000,-53.31376000
26.75056458,-79.69085000,-54.43251000
26.79824829,-80.11750000,-50.77403000
26.84593201,-85.88100000,-48.31345000
26.89361572,-79.33099000,-52.21643000
26.94129944,-79.78921000,-53.84524000
26.98898315,-86.48970000,-54.97235000
27.03666687,-78.42574000,-65.02210000
27.08435059,-81.59031000,-50.33326000
27.13203430,-83.87177000,-48.14613000
27.17971802,-79.23901000,-48.65230000
27.22740173,-81.23855000,-49.65001000
27.27508545,-84.88071000,-49.98139000
27.32276917,-78.37153000,-54.38132000
27.37045288,-82.09441000,-53.52656000
27.41813660,-82.79011000,-49.67532000
27.46582031,-78.42126000,-52.98665000
27.51350403,-83.87608000,-60.85167000
27.56118774,-82.03750000,-61.12424000
27.60887146,-79.08470000,-53.89739000
27.65655518,-83.08894000,-49.87904000
27.70423889,-82.24416000,-49.72321000
27.75192261,-78.22870000,-53.01464000
27.79960632,-85.67130000,-55.74192000
27.84729004,-80.29221000,-50.58048000
27.89497375,-79.16772000,-48.34618000
27.94265747,-85.34067000,-49.78464000
27.99034119,-80.71328000,-45.23887000
28.03802490,-79.26274000,-44.38031000
28.08570862,-85.68749000,-44.78192000
28.13339233,-79.95386000,-46.10563000
28.18107605,-79.00069000,-50.91625000
28.22875977,-87.49534000,-55.45848000
28.27644348,-79.02426000,-51.74984000
28.32412720,-80.49289000,-59.28511000
28.37181091,-85.04510000,-53.82012000
28.41949463,-79.72068000,-52.73807000
28.46717834,-79.98237000,-70.30123000
28.51486206,-86.68458000,-54.88643000
28.56254578,-78.55506000,-57.03820000
28.61022949,-80.82763000,-55.07437000
28.65791321,-84.42216000,-51.46865000
28.70559692,-78.66833000,-51.24293000
28.75328064,-82.14538000,-53.40630000
