Time,Channel A
(ms),(V)

183.43672633,0.79348120
183.49923033,0.80422380
183.56173433,0.84780420
183.62423832,0.87765130
183.68674232,0.87392800
183.74924632,0.82808920
183.81175032,0.77431560
183.87425431,0.72676780
183.93675831,0.70882290
183.99926231,0.72701190
184.06176631,0.74245430
184.12427030,0.75191500
184.18677430,0.73049100
184.24927830,0.68715480
184.31178230,0.64906760
184.37428629,0.62520220
184.43679029,0.62318800
184.49929429,0.62965790
184.56179829,0.62990200
184.62430228,0.61793880
184.68680628,0.59083830
184.74931028,0.56416520
184.81181428,0.53431810
184.87431827,0.52113410
184.93682227,0.52034060
184.99932627,0.51960810
185.06183027,0.51338240
185.12433426,0.49671930
185.18683826,0.46906950
185.24934226,0.44837790
185.31184626,0.42847990
185.37435025,0.41578420
185.43685425,0.40833770
185.49935825,0.40559100
185.56186225,0.39436020
185.62436624,0.37372970
185.68687024,0.35181740
185.74937424,0.33411660
185.81187824,0.32367930
185.87438223,0.30695520
185.93688623,0.31269260
185.99939023,0.29352700
186.06189423,0.28205210
186.12439822,0.26313060
186.18690222,0.24347670
186.24940622,0.22632530
186.31191022,0.21411790
186.37441421,0.21185950
186.43691821,0.20264290
186.49942221,0.18298900
186.56192621,0.16754660
186.62443020,0.15906250
186.68693420,0.13965270
186.74943820,0.13092440
186.81194220,0.11926630
186.87444619,0.10431230
186.93695019,0.09210486
186.99945419,0.07867672
187.06195819,0.06622516
187.12446218,0.05871761
187.18696618,0.04504532
187.24947018,0.03784295
187.31197418,0.01788385
187.37447817,0.00744652
187.43698217,-0.00177007
187.49948617,-0.01324503
187.56199017,-0.02917570
187.62449416,-0.04034547
187.68699816,-0.05603198
187.74950216,-0.05981628
187.81200616,-0.07550279
187.87451015,-0.08520768
187.93701415,-0.09063997
187.99951815,-0.10809660
188.06202215,-0.11828970
188.12452614,-0.13397630
188.18703014,-0.14319280
188.24953414,-0.15143280
188.31203814,-0.16284680
188.37454213,-0.17059850
188.43704613,-0.18353830
188.49955013,-0.19275490
188.56205413,-0.20044560
188.62455812,-0.20917390
188.68706212,-0.22186960
188.74956612,-0.22858360
188.81207011,-0.24652850
188.87457411,-0.25525680
188.93707811,-0.26148260
188.99958211,-0.27265240
189.06208610,-0.27094330
189.12459010,-0.28290660
189.18709410,-0.29706720
189.24959810,-0.30133980
189.31210209,-0.30927460
189.37460609,-0.31849120
189.43711009,-0.33191930
189.49961409,-0.33539840
189.56211808,-0.34736170
189.62462208,-0.35407580
189.68712608,-0.36433000
189.74963008,-0.36951810
189.81213407,-0.37324140
189.87463807,-0.38099310
189.93714207,-0.39442120
189.99964607,-0.39741200
190.06215006,-0.40589620
190.12465406,-0.41608940
190.18715806,-0.42353590
190.24966206,-0.43031100
190.31216605,-0.43549910
190.37467005,-0.43427840
190.43717405,-0.44544820
190.49967805,-0.45594650
190.56218204,-0.45942560
190.62468604,-0.46565140
190.68719004,-0.47334210
190.74969404,-0.47907960
190.81219803,-0.48304700
190.87470203,-0.49281290
190.93720603,-0.49250770
190.99971003,-0.49153110
191.06221402,-0.50672930
191.12471802,-0.50300610
191.18722202,-0.51344340
191.24972602,-0.51942500
191.31223001,-0.52241580
191.37473401,-0.52790920
191.43723801,-0.52864160
191.49974201,-0.53212070
191.56224600,-0.53736990
191.62475000,-0.54206980
191.68725400,-0.54554890
191.74975800,-0.55055390
191.81226199,-0.55153050
191.87476599,-0.55030980
191.93726999,-0.55775630
191.99977399,-0.56227300
192.06227798,-0.55879390
192.12478198,-0.56770530
192.18728598,-0.57246620
192.24978998,-0.56923120
192.31229397,-0.57844780
192.37479797,-0.57344280
192.43730197,-0.57344280
192.49980597,-0.57667770
192.56230996,-0.57942440
192.62481396,-0.58516190
192.68731796,-0.58565020
192.74982196,-0.58766440
192.81232595,-0.58589430
192.87482995,-0.58394120
192.93733395,-0.58693190
192.99983795,-0.58662680
193.06234194,-0.59065520
193.12484594,-0.58766440
193.18734994,-0.58742030
193.24985394,-0.58241520
193.31235793,-0.58912930
193.37486193,-0.59187600
193.43736593,-0.58589430
193.49986993,-0.58888520
193.56237392,-0.58339180
193.62487792,-0.58491770
193.68738192,-0.58516190
193.74988592,-0.58070620
193.81238991,-0.59089940
193.87489391,-0.58314770
193.93739791,-0.58070620
193.99990190,-0.58491770
194.06240590,-0.58143870
194.12490990,-0.57747130
194.18741390,-0.57295450
194.24991789,-0.57020780
194.31242189,-0.57417520
194.37492589,-0.57069610
194.43742989,-0.56526380
194.49993388,-0.56672870
194.56243788,-0.55775630
194.62494188,-0.56324960
194.68744588,-0.55879390
194.74994987,-0.55128630
194.81245387,-0.55281230
194.87495787,-0.53987240
194.93746187,-0.54634240
194.99996586,-0.53761400
195.06246986,-0.54182560
195.12497386,-0.53041170
195.18747786,-0.52687160
195.24998185,-0.52540670
195.31248585,-0.51417580
195.37498985,-0.52217170
195.43749385,-0.51319930
195.49999784,-0.50227360
195.56250184,-0.51020840
195.62500584,-0.49678030
195.68750984,-0.47560050
195.75001383,-0.48805200
195.81251783,-0.48280280
195.87502183,-0.48231450
195.93752583,-0.47810300
196.00002982,-0.47090060
196.06253382,-0.46143980
196.12503782,-0.45991390
196.18754182,-0.45490890
196.25004581,-0.45020910
196.31254981,-0.44349500
196.37505381,-0.43678090
196.43755781,-0.43775750
196.50006180,-0.42707600
196.56256580,-0.42005680
196.62506980,-0.41285440
196.68757380,-0.40736110
196.75007779,-0.39991460
196.81258179,-0.39991460
196.87508579,-0.38496050
196.93758979,-0.38398390
197.00009378,-0.36677150
197.06259778,-0.37250890
197.12510178,-0.35932490
197.18760578,-0.35285500
197.25010977,-0.35187840
197.31261377,-0.34614090
197.37511777,-0.33491010
197.43762177,-0.32569350
197.50012576,-0.32074950
197.56262976,-0.31250950
197.62513376,-0.31025120
197.68763776,-0.30256050
197.75014175,-0.28937650
197.81264575,-0.28461560
197.87514975,-0.28064820
197.93765375,-0.27045500
198.00015774,-0.27765740
198.06266174,-0.26075010
198.12516574,-0.25000760
198.18766974,-0.23755610
198.25017373,-0.23133030
198.31267773,-0.22534870
198.37518173,-0.21265300
198.43768573,-0.20966220
198.50018972,-0.19745480
198.56269372,-0.18555250
198.62519772,-0.18500320
198.68770172,-0.17828910
198.75020571,-0.16687520
198.81270971,-0.15662100
198.87521371,-0.15314190
198.93771770,-0.13849300
199.00022170,-0.13275550
199.06272570,-0.12451550
199.12522970,-0.11755730
199.18773369,-0.10931730
199.25023769,-0.09710990
199.31274169,-0.08990753
199.37524569,-0.08642842
199.43774968,-0.07275613
199.50025368,-0.06726280
199.56275768,-0.05706961
199.62526168,-0.04510636
199.68776567,-0.04333628
199.75026967,-0.03241066
199.81277367,-0.02392651
199.87527767,-0.01324503
199.93778166,-0.00952178
200.00028566,0.00024415
200.06278966,0.01318400
200.12529366,0.01989807
200.18779765,0.03131199
200.25030165,0.03460799
200.31280565,0.04730369
200.37530965,0.05127110
200.43781364,0.06073184
200.50031764,0.07190160
200.56282164,0.08038575
200.62532564,0.07391583
200.68782963,0.09680471
200.75033363,0.10382400
200.81283763,0.10925630
200.87534163,0.11572620
200.93784562,0.12469860
201.00034962,0.14166690
201.06285362,0.14709920
201.12535762,0.15735340
201.18786161,0.16754660
201.25036561,0.16876740
201.31286961,0.17499310
