Time,Channel A,Frequency,Triangular,Rectangular,Channel A
(ms),(V),(kHz),(dBV),(dBV),(dBV)
,,,,,
-4.84141777,0.4870754,19.13403603,-96.90807,-87.42294,-90.48054
-4.84091377,-0.1306803,19.19458677,-96.21581,-100.3956,-90.71609
-4.84040977,-0.4854884,19.25513752,-97.36283,-84.28003,-91.44836
-4.83990577,0.1431013,19.31568827,-100.3507,-92.14516,-92.71303
-4.83940177,0.4826197,19.37623901,-105.0097,-89.70676,-95.03099
-4.83889777,-0.1544542,19.43678976,-105.0497,-85.82538,-99.59602
-4.83839377,-0.4782861,19.49734051,-101.8243,-101.411,-107.9519
-4.83788977,0.1678823,19.55789125,-107.8736,-86.73897,-106.4786
-4.83738577,0.4751427,19.618442,-100.3087,-93.51625,-100.6591
-4.83688177,-0.1797235,19.67899275,-100.9063,-95.29901,-97.7057
-4.83637777,-0.4699545,19.7395435,-105.005,-86.75838,-95.48549
-4.83587377,0.1898862,19.80009424,-97.94534,-92.88895,-93.64374
-4.83536977,0.4631794,19.86064499,-99.74682,-87.1651,-92.73265
-4.83486577,-0.2018799,19.92119574,-98.119,-86.42625,-92.89334
-4.83436177,-0.4578692,19.98174648,-94.68277,-90.13205,-94.24365
-4.83385777,0.2156438,20.04229723,-93.88077,-88.50418,-95.77866
-4.83335377,0.4535966,20.10284798,-97.05309,-91.20109,-96.05769
-4.83284977,-0.2252571,20.16339872,-99.67571,-87.61143,-96.48735
-4.83234577,-0.4485305,20.22394947,-95.35536,-84.41529,-97.23077
-4.83184177,0.2350841,20.28450022,-96.78519,-91.56532,-95.96973
-4.83133777,0.4453871,20.34505096,-101.5266,-84.77295,-94.29104
-4.83083377,-0.249031,20.40560171,-103.1244,-93.91952,-93.87157
-4.83032977,-0.4375744,20.46615246,-99.30099,-85.20679,-94.25549
-4.82982577,0.2585833,20.52670321,-102.6797,-87.46655,-94.40433
-4.82932177,0.4298532,20.58725395,-103.5996,-94.34967,-94.47816
-4.82881777,-0.2699362,20.6478047,-94.20503,-85.10329,-94.80809
-4.82831377,-0.4210334,20.70835545,-93.54717,-91.24635,-95.64151
-4.82780977,0.2792444,20.76890619,-99.1777,-87.87014,-97.09798
