Time,Channel A
(ms),(V)

17.54918040,0.02899258
17.55418040,-0.12768950
17.55918040,-0.27021090
17.56418040,-0.38843960
17.56918040,-0.46995450
17.57418040,-0.50355540
17.57918040,-0.48536640
17.58418039,-0.42301710
17.58918039,-0.31598870
17.59418039,-0.18085270
17.59918039,-0.02850429
17.60418039,0.12793360
17.60918039,0.27301860
17.61418039,0.39014860
17.61918039,0.46903900
17.62418039,0.50114450
17.62918039,0.48747210
17.63418039,0.42374950
17.63918039,0.31882690
17.64418039,0.18070010
17.64918039,0.02673421
17.65418039,-0.13031400
17.65918039,-0.27243870
17.66418039,-0.38767660
17.66918039,-0.46995450
17.67418039,-0.50181590
17.67918039,-0.48573260
17.68418039,-0.42500080
17.68918039,-0.31650750
17.69418039,-0.18320260
17.69918039,-0.02752770
17.70418039,0.12979520
17.70918039,0.27353740
17.71418039,0.39063690
17.71918039,0.46952730
17.72418039,0.50016780
17.72918039,0.48783840
17.73418039,0.42274240
17.73918039,0.31846060
17.74418039,0.18106630
17.74918039,0.02871792
17.75418039,-0.12857450
17.75918039,-0.27021090
17.76418039,-0.38843960
17.76918039,-0.47093110
17.77418039,-0.50193790
17.77918039,-0.48362680
17.78418039,-0.42252880
17.78918039,-0.31699580
17.79418039,-0.18271430
17.79918039,-0.02902310
17.80418039,0.12741480
17.80918039,0.27140110
17.81418039,0.39051490
17.81918039,0.47029020
17.82418039,0.50227360
17.82918039,0.48509170
17.83418039,0.42136900
17.83918039,0.31794180
17.84418039,0.18305000
17.84918039,0.02761925
17.85418039,-0.12869660
17.85918039,-0.27057710
17.86418039,-0.38792080
17.86918039,-0.46806240
17.87418039,-0.49967960
17.87918039,-0.48500020
17.88418039,-0.42378000
17.88918039,-0.31650750
17.89418039,-0.18332470
17.89918039,-0.02826014
17.90418039,0.12765890
17.90918039,0.27390360
17.91418039,0.39124730
17.91918039,0.46964930
17.92418039,0.50276190
17.92918039,0.48658710
17.93418039,0.42200990
17.93918039,0.31821650
17.94418039,0.18305000
17.94918039,0.02822962
17.95418039,-0.12857450
17.95918039,-0.27256080
17.96418039,-0.38978240
17.96918039,-0.46943570
17.97418039,-0.50230410
17.97918038,-0.48710590
17.98418038,-0.42277290
17.98918038,-0.31687370
17.99418038,-0.18060850
17.99918038,-0.02951140
18.00418038,0.12878810
18.00918038,0.27378150
18.01418038,0.39326150
18.01918038,0.46778770
18.02418038,0.50599690
18.02918038,0.48695330
18.03418038,0.42188790
18.03918038,0.31833860
18.04418038,0.18167670
18.04918038,0.02996918
18.05418038,-0.12820830
18.05918038,-0.27170630
18.06418038,-0.38941620
18.06918038,-0.47019870
18.07418038,-0.50328080
18.07918038,-0.48573260
18.08418038,-0.42277290
18.08918038,-0.31723990
18.09418038,-0.18073060
18.09918038,-0.02777184
18.10418038,0.12915430
18.10918038,0.27314070
18.11418038,0.38950770
18.11918038,0.46842860
18.12418038,0.50462350
18.12918038,0.48496960
18.13418038,0.42249830
18.13918038,0.31858270
18.14418038,0.18393510
18.14918038,0.02847377
18.15418038,-0.12833030
18.15918038,-0.27393410
18.16418038,-0.39179660
18.16918038,-0.46931370
18.17418038,-0.50392160
18.17918038,-0.48673970
18.18418038,-0.42338330
18.18918038,-0.31946780
18.19418038,-0.18356880
18.19918038,-0.02838221
18.20418038,0.12915430
18.20918038,0.27179780
18.21418038,0.39262060
18.21918038,0.47190770
18.22418038,0.50288400
18.22918038,0.48747210
18.23418038,0.42063660
18.23918038,0.31647690
18.24418038,0.18094420
18.24918038,0.02575762
18.25418038,-0.12695700
18.25918038,-0.27182840
18.26418038,-0.39042330
18.26918038,-0.47080900
18.27418038,-0.50355540
18.27918038,-0.48500020
18.28418038,-0.42353590
18.28918038,-0.31873530
18.29418038,-0.17996770
18.29918038,-0.02764977
18.30418038,0.12915430
18.30918038,0.27301860
18.31418038,0.38914150
18.31918038,0.46653650
18.32418038,0.50178530
18.32918038,0.48820460
18.33418038,0.42249830
18.33918038,0.31931520
18.34418038,0.18070010
18.34918038,0.02887051
18.35418038,-0.12845240
18.35918038,-0.27381210
18.36418038,-0.38978240
18.36918038,-0.46870330
18.37418038,-0.50154120
18.37918037,-0.48612930
18.38418037,-0.42301710
